id,fighter_name,weight_pounds,date_of_birth,height_feet,height_inches
329,Gregory Bouchelaghem,183.0,1978-03-23,6.0,2.0
330,Roy Boughton,205.0,,6.0,0.0
331,Mike Bourke,275.0,1968-11-25,6.0,0.0
332,Jess Bouscal,155.0,,,
333,Tai Bowden,230.0,,5.0,11.0
334,Melton Bowen,225.0,1969-07-16,6.0,0.0
335,Kyron Bowen,185.0,1993-12-22,6.0,3.0
336,Blake Bowman,170.0,,6.0,2.0
337,Brian Bowles,135.0,1980-06-22,5.0,7.0
338,Roger Bowling,155.0,1982-12-05,5.0,9.0
339,Ashe Bowman,155.0,1976-11-17,5.0,9.0
340,Colley  Bradford,145.0,,5.0,7.0
341,Kyle Bradley,155.0,1982-08-19,5.0,9.0
342,Paul Bradley,170.0,1983-06-13,5.0,9.0
343,Sean Brady,170.0,1992-11-23,5.0,10.0
344,Ebenezer Fontes Braga,199.0,1969-04-14,6.0,0.0
345,Joe Brammer,155.0,1983-08-23,5.0,8.0
346,Ramiz Brahimaj,170.0,1992-11-17,5.0,10.0
347,David Branch,185.0,1981-09-26,6.0,1.0
348,Michael Bravo,155.0,,,
349,Martin Bravo,145.0,1993-09-21,5.0,8.0
350,Diego Brandao,145.0,1987-05-27,5.0,7.0
351,Tom Breese,185.0,1991-09-26,6.0,3.0
352,Mike Breeden,155.0,1989-04-21,5.0,10.0
353,Chris Brennan,170.0,1971-10-12,5.0,8.0
354,Charlie Brenneman,155.0,1981-02-09,5.0,10.0
355,Robert Breslin,155.0,,5.0,11.0
356,Marcos Brigagao,205.0,1996-04-01,6.0,3.0
357,Mack Brewer,205.0,,,
358,Jason Brilz,205.0,1975-07-07,5.0,11.0
359,Marcus Brimage,135.0,1985-04-06,5.0,4.0
360,Aaron Brink,205.0,1974-11-12,6.0,3.0
361,Marcelo Brito,170.0,1977-11-27,6.0,1.0
362,Henry Briones,135.0,1980-10-22,5.0,8.0
363,Drew Brokenshire,,,,
364,Antwain Britt,205.0,1978-05-09,6.0,1.0
365,Mike Bronzoulis,155.0,1979-01-05,6.0,0.0
366,Jonathan Brookins,145.0,1985-08-13,6.0,0.0
367,Will Brooks,155.0,1986-10-08,5.0,10.0
368,Jarred Brooks,125.0,1993-05-02,5.0,3.0
369,Rob Broughton,265.0,1983-03-03,6.0,2.0
370,Terrell Brown,185.0,1983-04-13,,
371,Dominic Brown,190.0,1982-06-04,5.0,11.0
372,Mike Brown,145.0,1975-09-08,5.0,6.0
373,Chris Brown,170.0,,,
374,Todd Brown,205.0,1976-12-13,5.0,11.0
375,Matt Brown,170.0,1981-01-10,6.0,0.0
376,Frederick Brown,235.0,,6.0,0.0
377,TJ Brown,145.0,1990-05-22,5.0,9.0
378,Damien Brown,155.0,1984-12-25,5.0,10.0
379,Randy Brown,170.0,1990-07-08,6.0,3.0
380,Junie Browning,155.0,1984-05-12,5.0,9.0
381,Humberto Brown Morrison,145.0,1984-11-03,5.0,10.0
382,Travis Browne,255.0,1982-07-17,6.0,6.0
383,Jules Bruchez,205.0,1977-08-16,6.0,0.0
384,Lee Brousseau,205.0,1974-10-04,6.0,1.0
385,Justin Bruckmann,170.0,1974-07-23,5.0,9.0
386,Cody Brundage,205.0,1994-05-16,6.0,0.0
387,Steve Bruno,170.0,1981-11-03,5.0,10.0
